순위 |    영화명     |변동폭
  1  |       사자        +1 
  2  |      엑시트        +1 
  3  |     나랏말싸미       -2 
  4  |     라이온 킹       0  
  5  |      알라딘        0  
  6  |      레드슈즈       0  
  7  |      롱 샷        0  
  8  | 스파이더맨: 파 프롬 홈   0  
  9  |      메모리즈       0  
  10 |      기생충        0  
  11 |   마이펫의 이중생활2    +5 
  12 |     봉오동 전투      +1 
  13 | 명탐정 코난: 감청의 권   -2 
  14 |      주전장        -2 
  15 |  나쁜 녀석들: 더 무비   -1 
  16 |   어벤져스: 엔드게임    -1 
  17 |    토이 스토리 4     +1 
  18 | 고질라: 킹 오브 몬스터   +2 
  19 |  타짜: 원 아이드 잭    0  
  20 |      기방도령       -3 
  21 |    어린 처형 2      0  
  22 |  존 윅 3: 파라벨룸    0  
  23 |      돈 워리       +1 
  24 |      미드소마       -1 
  25 |     47미터 2      +2 
  26 |   누구나 아는 비밀     +7 
  27 |    데드 돈 다이      -1 
  28 |분노의 질주: 홉스&amp;쇼  +2 
  29 |      비스트        -4 
  30 |       변신        +2 
  31 |롱 리브 더 킹: 목포 영웅  -2 
  32 | 브링 더 소울 : 더 무비  +5 
  33 |     도신 외전       +8 
  34 |       위!        +4 
  35 |      더 디너       -1 
  36 |     안녕 베일리      0  
  37 |    발광하는 현대사     -9 
  38 |     난폭한 기록      -7 
  39 |  인면어: 저주의 시작    +4 
  40 | 맨 인 블랙: 인터내셔널   -1 
  41 |   광대들: 풍문조작단    +3 
  42 |       진범        -7 
  43 | 킹스맨: 퍼스트 에이전트   +2 
  44 |      악인전        +3 
  45 |       암전        0  
  46 |      그린 북       +2 
  47 |      김복동        +3 
  48 |원스 어폰 어 타임 인 할리우드  +8 
  49 |   인크레더블 손오공     -9 
  50 |     굿바이 썸머      -8 
