_returnType,coGrade,coValue,dataTerm,dataTime,khaiGrade,khaiValue,mangName,no2Grade,no2Value,numOfRows,o3Grade,o3Value,pageNo,pm10Grade,pm10Grade1h,pm10Value,pm10Value24,pm25Grade,pm25Grade1h,pm25Value,pm25Value24,resultCode,resultMsg,rnum,serviceKey,sidoName,so2Grade,so2Value,stationCode,stationName,totalCount,ver
json,1,0.3,,2019-09-16 09:00,1,33,도시대기,1,0.020,10,1,0.012,1,1,1,24,15,1,1,5,3,,,0,,,1,0.002,,수창동,,
json,1,0.3,,2019-09-16 09:00,1,33,도시대기,1,0.012,10,1,0.020,1,1,1,10,12,1,1,5,4,,,0,,,1,0.002,,지산동,,
json,1,0.3,,2019-09-16 09:00,1,37,도시대기,1,0.010,10,1,0.014,1,1,1,26,22,1,1,11,8,,,0,,,1,0.004,,서호동,,
json,1,0.3,,2019-09-16 09:00,1,35,도시대기,1,0.021,10,1,0.013,1,1,1,22,18,1,1,12,6,,,0,,,1,0.002,,이현동,,
json,1,0.3,,2019-09-16 09:00,1,32,도로변대기,1,0.019,10,1,0.008,1,1,2,36,19,1,1,9,5,,,0,,,1,0.002,,평리동,,
json,1,0.2,,2019-09-16 09:00,1,43,도시대기,1,0.011,10,1,0.026,1,1,1,17,14,1,1,7,5,,,0,,,1,0.001,,대명동,,
json,1,0.2,,2019-09-16 09:00,1,33,도시대기,1,0.020,10,1,0.009,1,1,1,28,19,1,1,12,7,,,0,,,1,0.002,,노원동,,
json,1,0.2,,2019-09-16 09:00,1,27,도시대기,1,0.016,10,1,0.011,1,1,1,18,15,1,1,5,4,,,0,,,1,0.003,,신암동,,
json,1,0.3,,2019-09-16 09:00,1,33,도시대기,1,0.018,10,1,0.014,1,1,1,26,20,1,1,7,5,,,0,,,1,0.002,,태전동,,
json,1,0.4,,2019-09-16 09:00,1,27,도시대기,1,0.012,10,1,0.013,1,1,1,21,16,1,1,10,5,,,0,,,1,0.002,,만촌동,,
